delta time[s],outdoor temperature[°C],flow temperature[°C],return flow temperature[°C],f-r diff[K],room temperature[°C],pump I/O,boiler heating temperature[°C],pressure[bar],drinking water temperature boiler[°C]
0.000017162,2,46.005284,37.999873,8.0054111,20,1,48.85,1.4637331,1
0.000017386,2,46.005296,37.999873,8.0054232,20,1,48.85,1.4672215,1
0.000017454,2,46.0053,37.999873,8.0054268,20,1,48.85,1.4682572,1
0.000017521,2,46.005303,37.999873,8.0054304,20,1,48.85,1.469288,1
0.000017622,2,46.005309,37.999873,8.0054357,20,1,48.85,1.4708257,1
0.000017652,2,46.00531,37.999873,8.0054373,20,1,48.85,1.471285,1
0.000017683,2,46.005312,37.999873,8.0054389,20,1,48.85,1.4717433,1
0.000017728,2,46.005314,37.999873,8.0054412,20,1,48.85,1.4724289,1
0.000017742,2,46.005315,37.999873,8.005442,20,1,48.85,1.4726342,1
0.000017756,2,46.005315,37.999873,8.0054427,20,1,48.85,1.4728393,1
0.000017776,2,46.005317,37.999873,8.0054437,20,1,48.85,1.4731466,1
0.000017796,2,46.005318,37.999873,8.0054448,20,1,48.85,1.4734535,1
0.000017899,2,46.005323,37.999873,8.0054501,20,1,48.85,1.4749815,1
0.00001841,2,46.005348,37.999872,8.0054759,20,1,48.85,1.4824645,1
0.000020969,2,46.005463,37.999872,8.0055915,20,1,48.85,1.5162347,1
0.000023527,2,46.005559,37.999872,8.0056871,20,1,48.85,1.5444353,1
0.000025974,2,46.005636,37.999873,8.005763,20,1,48.85,1.5671015,1
0.00002842,2,46.005701,37.999874,8.0058273,20,1,48.85,1.586471,1
0.000031255,2,46.005766,37.999876,8.0058906,20,1,48.85,1.6057853,1
0.00003409,2,46.005823,37.999878,8.0059453,20,1,48.85,1.6226147,1
0.000037519,2,46.005883,37.999881,8.0060026,20,1,48.85,1.6404787,1
0.000040947,2,46.005936,37.999883,8.0060524,20,1,48.85,1.6561261,1
0.000045595,2,46.005997,37.999888,8.0061099,20,1,48.85,1.674396,1
0.00004699,2,46.006014,37.999889,8.006125,20,1,48.85,1.6792425,1
0.000048384,2,46.006029,37.99989,8.0061391,20,1,48.85,1.683797,1
0.000049012,2,46.006036,37.999891,8.0061452,20,1,48.85,1.685755,1
0.00004964,2,46.006042,37.999891,8.0061511,20,1,48.85,1.6876542,1
0.000050581,2,46.006051,37.999892,8.0061595,20,1,48.85,1.6903883,1
0.000050863,2,46.006054,37.999892,8.0061619,20,1,48.85,1.691181,1
0.000051146,2,46.006057,37.999892,8.0061643,20,1,48.85,1.6919611,1
0.000051569,2,46.006061,37.999893,8.0061679,20,1,48.85,1.6931067,1
0.000051993,2,46.006065,37.999893,8.0061713,20,1,48.85,1.6942232,1
0.00005212,2,46.006066,37.999893,8.0061723,20,1,48.85,1.6945523,1
0.000052158,2,46.006066,37.999893,8.0061726,20,1,48.85,1.6946503,1
0.000052196,2,46.006066,37.999893,8.0061729,20,1,48.85,1.694748,1
0.000052253,2,46.006067,37.999893,8.0061733,20,1,48.85,1.6948939,1
0.00005231,2,46.006067,37.999894,8.0061738,20,1,48.85,1.6950392,1
0.000052596,2,46.00607,37.999894,8.006176,20,1,48.85,1.6957573,1
0.000052882,2,46.006072,37.999894,8.0061781,20,1,48.85,1.6964622,1
0.000053168,2,46.006074,37.999894,8.0061802,20,1,48.85,1.6971549,1
0.000053454,2,46.006077,37.999895,8.0061823,20,1,48.85,1.6978377,1
0.00005374,2,46.006079,37.999895,8.0061843,20,1,48.85,1.6985107,1
0.000055016,2,46.006089,37.999896,8.0061929,20,1,48.85,1.7013559,1
0.000056964,2,46.006102,37.999898,8.0062044,20,1,48.85,1.7052102,1
0.000057476,2,46.006105,37.999898,8.0062071,20,1,48.85,1.7061241,1
0.000057989,2,46.006108,37.999898,8.0062096,20,1,48.85,1.7069858,1
0.000060551,2,46.006119,37.999901,8.0062188,20,1,48.85,1.7102107,1
0.000061098,2,46.006121,37.999901,8.00622,20,1,48.85,1.71065,1
0.000061645,2,46.006122,37.999901,8.0062209,20,1,48.85,1.7110057,1
0.00006335,2,46.006125,37.999903,8.0062223,20,1,48.85,1.7117611,1
0.000065055,2,46.006127,37.999904,8.0062224,20,1,48.85,1.7121153,1
0.000068958,2,46.006127,37.999907,8.0062195,20,1,48.85,1.7119868,1
0.00007286,2,46.006124,37.99991,8.0062135,20,1,48.85,1.710893,1
0.00008007,2,46.006112,37.999915,8.0061973,20,1,48.85,1.7072017,1
0.000093927,2,46.006077,37.999923,8.0061541,20,1,48.85,1.6961478,1
0.000107784,2,46.006031,37.99993,8.0061011,20,1,48.85,1.6816735,1
0.000135323,2,46.005921,37.999939,8.0059816,20,1,48.85,1.6476842,1
0.000169759,2,46.005768,37.999947,8.0058203,20,1,48.85,1.600528,1
0.000225797,2,46.005515,37.999957,8.0055582,20,1,48.85,1.5227364,1
0.000281835,2,46.005276,37.999964,8.0053121,20,1,48.85,1.4491309,1
0.00036708,2,46.004821,37.999974,8.0048471,20,1,48.85,1.3504906,1
0.000452325,2,46.004283,37.999981,8.0043021,20,1,48.85,1.2686853,1
0.00053757,2,46.003853,37.999987,8.0038656,20,1,48.85,1.202981,1
0.000681622,2,46.00334,37.999994,8.0033463,20,1,48.85,1.1243293,1
0.000825674,2,46.003053,37.999998,8.003055,20,1,48.85,1.079528,1
